순위,song,singer
1,나는 아픈 건 딱 질색이니까,(여자)아이들
2,밤양갱,비비 (BIBI)
3,첫 만남은 계획대로 되지 않아,TWS (투어스)
4,EASY,LE SSERAFIM (르세라핌)
5,Love wins all,아이유
6,비의 랩소디,임재현
7,To. X,태연 (TAEYEON)
8,홀씨,아이유
9,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
10,천상연,이창섭
11,Love 119,RIIZE
12,Smart,LE SSERAFIM (르세라핌)
13,Perfect Night,LE SSERAFIM (르세라핌)
14,에피소드,이무진
15,헤어지자 말해요,박재정
16,Drama,aespa
17,사랑은 늘 도망가,임영웅
18,인사,범진
19,예뻤어,DAY6 (데이식스)
20,한 페이지가 될 수 있게,DAY6 (데이식스)
21,Seven (feat. Latto) - Clean Ver.,정국
22,꿈,태연 (TAEYEON)
23,Shopper,아이유
24,WAY 4 LUV,PLAVE
25,Super Lady,(여자)아이들
26,I AM,IVE (아이브)
27,MANIAC,VIVIZ (비비지)
28,모래 알갱이,임영웅
29,우리들의 블루스,임영웅
30,Wife,(여자)아이들
31,Love Lee,AKMU (악뮤)
32,너의 모든 순간,성시경
33,사랑인가 봐,멜로망스
34,Do or Die,임영웅
35,다시 만날 수 있을까,임영웅
36,Get A Guitar,RIIZE
37,이제 나만 믿어요,임영웅
38,Watch Me Woo!,PLAVE
39,무지개,임영웅
40,우리 영화,PLAVE
41,Hype Boy,NewJeans
42,사막에서 꽃을 피우듯,우디 (Woody)
43,Welcome to the Show,DAY6 (데이식스)
44,From,PLAVE
45,Baddie,IVE (아이브)
46,아버지,임영웅
47,London Boy,임영웅
48,Polaroid,임영웅
49,봄날,방탄소년단
50,Super Shy,NewJeans
51,인생찬가,임영웅
52,버추얼 아이돌,PLAVE
53,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
54,You & Me,제니 (JENNIE)
55,퀸카 (Queencard),(여자)아이들
56,Ditto,NewJeans
57,사랑할 수밖에,볼빨간사춘기
58,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
59,사건의 지평선,윤하 (YOUNHA)
60,A bientot,임영웅
61,취중고백,김민석
62,ETA,NewJeans
63,주저하는 연인들을 위해,잔나비
64,그대가 내 안에 박혔다(그내박),순순희(기태)
65,사랑하지 않아서 그랬어,임한별
66,후라이의 꿈,AKMU (악뮤)
67,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
68,사랑..그게 뭔데,지아
69,심(心),DK(디셈버)
70,Standing Next to You,정국
71,Dynamite,방탄소년단
72,I Don't Think That I Like Her,Charlie Puth
73,Spicy,aespa
74,해요 (2022),#안녕
75,LOVE DIVE,IVE (아이브)
76,다정히 내 이름을 부르면,"경서예지, 전건호"
77,Merry PLLIstmas,PLAVE
78,Kitsch,IVE (아이브)
79,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
80,연애편지,임영웅
81,물론,허각
82,별 떨어진다 (I Do),디오 (D.O.)
83,Steal The Show (From “엘리멘탈”),Lauv
84,After LIKE,IVE (아이브)
85,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
86,기억해줘요 내 모든 날과 그때를,화곡동 청개구리
87,"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",그루비룸 (GroovyRoom)
88,손오공,세븐틴 (SEVENTEEN)
89,Dangerously,Charlie Puth
90,Butter,방탄소년단
91,OMG,NewJeans
92,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
93,관객이 될게 (I stan U),아이유
94,Discord,QWER
95,"그대가 있는 곳, 언제 어디든",로이킴
96,음악의 신,세븐틴 (SEVENTEEN)
97,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
98,첫 눈,EXO
99,그중에 그대를 만나,김호중
100,봄이 와도,로이킴
